Entry_Time,Entry_Price,Result,Hold_Min,Exit_Time,WaterCnt,Profit,Water1,Water2,Water3,Water4
2025-03-28 04:00:00+00:00,86797.91,OPEN,5519,,4,0.0,2025-03-28 05:38:00+00:00,2025-03-28 14:06:00+00:00,2025-03-29 09:44:00+00:00,2025-03-29 11:32:00+00:00
2025-03-28 04:01:00+00:00,86832.64,OPEN,5518,,4,0.0,2025-03-28 05:38:00+00:00,2025-03-28 11:13:00+00:00,2025-03-28 17:11:00+00:00,2025-03-29 11:31:00+00:00
2025-03-28 04:02:00+00:00,86801.71,OPEN,5517,,4,0.0,2025-03-28 05:38:00+00:00,2025-03-28 11:14:00+00:00,2025-03-29 09:44:00+00:00,2025-03-29 11:32:00+00:00
2025-03-28 04:03:00+00:00,86829.47,OPEN,5516,,4,0.0,2025-03-28 05:38:00+00:00,2025-03-28 11:13:00+00:00,2025-03-28 17:11:00+00:00,2025-03-29 11:31:00+00:00
2025-03-28 04:04:00+00:00,86831.89,OPEN,5515,,4,0.0,2025-03-28 05:38:00+00:00,2025-03-28 11:13:00+00:00,2025-03-28 17:11:00+00:00,2025-03-29 11:31:00+00:00
2025-03-28 04:05:00+00:00,86781.23,OPEN,5514,,4,0.0,2025-03-28 05:42:00+00:00,2025-03-28 14:06:00+00:00,2025-03-29 09:44:00+00:00,2025-03-29 11:33:00+00:00
2025-03-28 04:06:00+00:00,86798.61,OPEN,5513,,4,0.0,2025-03-28 05:38:00+00:00,2025-03-28 11:14:00+00:00,2025-03-29 09:44:00+00:00,2025-03-29 11:32:00+00:00
2025-03-28 04:07:00+00:00,86789.11,OPEN,5512,,4,0.0,2025-03-28 05:38:00+00:00,2025-03-28 14:06:00+00:00,2025-03-29 09:44:00+00:00,2025-03-29 11:33:00+00:00
2025-03-28 04:08:00+00:00,86780.0,OPEN,5511,,4,0.0,2025-03-28 05:42:00+00:00,2025-03-28 14:06:00+00:00,2025-03-29 09:44:00+00:00,2025-03-29 11:33:00+00:00
2025-03-28 04:09:00+00:00,86776.66,OPEN,5510,,4,0.0,2025-03-28 05:42:00+00:00,2025-03-28 14:06:00+00:00,2025-03-29 09:44:00+00:00,2025-03-29 11:33:00+00:00
2025-03-28 04:10:00+00:00,86779.64,OPEN,5509,,4,0.0,2025-03-28 05:42:00+00:00,2025-03-28 14:06:00+00:00,2025-03-29 09:44:00+00:00,2025-03-29 11:33:00+00:00
2025-03-28 04:11:00+00:00,86775.84,OPEN,5508,,4,0.0,2025-03-28 05:42:00+00:00,2025-03-28 14:06:00+00:00,2025-03-29 09:44:00+00:00,2025-03-29 11:33:00+00:00
2025-03-28 04:12:00+00:00,86779.31,OPEN,5507,,4,0.0,2025-03-28 05:42:00+00:00,2025-03-28 14:06:00+00:00,2025-03-29 09:44:00+00:00,2025-03-29 11:33:00+00:00
2025-03-28 04:13:00+00:00,86778.83,OPEN,5506,,4,0.0,2025-03-28 05:42:00+00:00,2025-03-28 14:06:00+00:00,2025-03-29 09:44:00+00:00,2025-03-29 11:33:00+00:00
2025-03-28 04:14:00+00:00,86774.43,OPEN,5505,,4,0.0,2025-03-28 05:42:00+00:00,2025-03-28 14:06:00+00:00,2025-03-29 09:44:00+00:00,2025-03-29 11:33:00+00:00
2025-03-28 04:15:00+00:00,86749.23,OPEN,5504,,4,0.0,2025-03-28 05:46:00+00:00,2025-03-28 14:06:00+00:00,2025-03-29 09:44:00+00:00,2025-03-29 11:33:00+00:00
2025-03-28 04:16:00+00:00,86746.8,OPEN,5503,,4,0.0,2025-03-28 05:46:00+00:00,2025-03-28 14:06:00+00:00,2025-03-29 09:44:00+00:00,2025-03-29 11:37:00+00:00
2025-03-28 04:17:00+00:00,86726.81,OPEN,5502,,4,0.0,2025-03-28 05:47:00+00:00,2025-03-28 14:06:00+00:00,2025-03-29 09:44:00+00:00,2025-03-29 11:37:00+00:00
2025-03-28 04:18:00+00:00,86737.01,OPEN,5501,,4,0.0,2025-03-28 05:46:00+00:00,2025-03-28 14:06:00+00:00,2025-03-29 09:44:00+00:00,2025-03-29 11:37:00+00:00
2025-03-28 04:19:00+00:00,86736.74,OPEN,5500,,4,0.0,2025-03-28 05:46:00+00:00,2025-03-28 14:06:00+00:00,2025-03-29 09:44:00+00:00,2025-03-29 11:37:00+00:00
2025-03-28 04:20:00+00:00,86721.36,OPEN,5499,,4,0.0,2025-03-28 05:47:00+00:00,2025-03-28 14:06:00+00:00,2025-03-29 09:45:00+00:00,2025-03-29 11:37:00+00:00
2025-03-28 04:21:00+00:00,86687.18,OPEN,5498,,4,0.0,2025-03-28 06:53:00+00:00,2025-03-28 14:06:00+00:00,2025-03-29 09:45:00+00:00,2025-03-29 11:38:00+00:00
2025-03-28 04:22:00+00:00,86679.25,OPEN,5497,,4,0.0,2025-03-28 06:53:00+00:00,2025-03-28 14:06:00+00:00,2025-03-29 09:45:00+00:00,2025-03-29 11:38:00+00:00
2025-03-28 04:23:00+00:00,86704.63,OPEN,5496,,4,0.0,2025-03-28 05:47:00+00:00,2025-03-28 14:06:00+00:00,2025-03-29 09:45:00+00:00,2025-03-29 11:38:00+00:00
2025-03-28 04:24:00+00:00,86709.58,OPEN,5495,,4,0.0,2025-03-28 05:47:00+00:00,2025-03-28 14:06:00+00:00,2025-03-29 09:45:00+00:00,2025-03-29 11:38:00+00:00
