timestamp,open,high,low,close,volume,close_timestamp,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,date
1750539540000000,102820.01,102820.01,102782.08,102782.08,5.78206,1750539599999999,594437.3693907,1288,1.50998,155225.2179346,0,2025-06-21 20:59:00+00:00
1750539600000000,102782.09,102836.0,102782.08,102817.39,7.85798,1750539659999999,807842.03578,1706,5.88572,605039.1895412,0,2025-06-21 21:00:00+00:00
1750539660000000,102817.4,102817.4,102744.83,102744.84,5.308,1750539719999999,545498.625612,2256,2.45764,252517.3589935,0,2025-06-21 21:01:00+00:00
1750539720000000,102744.84,102744.84,102709.09,102709.09,2.92751,1750539779999999,300737.9872238,793,0.45231,46467.5568132,0,2025-06-21 21:02:00+00:00
1750539780000000,102709.1,102709.1,102673.85,102679.99,6.45233,1750539839999999,662551.5829634,1149,2.57556,264465.1501054,0,2025-06-21 21:03:00+00:00
1750539840000000,102680.0,102735.67,102679.99,102719.17,3.6721,1750539899999999,377154.7053656,1950,2.95349,303341.5526901,0,2025-06-21 21:04:00+00:00
1750539900000000,102719.17,102719.17,102616.19,102616.19,27.44054,1750539959999999,2817432.4155935,2745,3.83569,393860.1236312,0,2025-06-21 21:05:00+00:00
1750539960000000,102616.2,102624.1,102616.19,102621.52,3.10166,1750540019999999,318299.9567404,531,0.74475,76424.9184658,0,2025-06-21 21:06:00+00:00
1750540020000000,102621.53,102621.53,102610.16,102610.26,1.35785,1750540079999999,139340.9133569,809,0.26433,27125.3319681,0,2025-06-21 21:07:00+00:00
1750540080000000,102610.25,102610.26,102538.46,102538.46,1.42374,1750540139999999,146041.8928844,2140,0.37399,38364.2071759,0,2025-06-21 21:08:00+00:00
1750540140000000,102538.46,102551.6,102538.46,102551.59,2.83017,1750540199999999,290218.0309994,1061,2.40339,246452.0556275,0,2025-06-21 21:09:00+00:00
1750540200000000,102551.6,102551.6,102527.14,102536.7,5.31467,1750540259999999,544928.9854292,1371,2.2153,227135.020133,0,2025-06-21 21:10:00+00:00
1750540260000000,102536.7,102556.0,102536.11,102556.0,7.33413,1750540319999999,752040.6916811,974,4.69472,481403.6516082,0,2025-06-21 21:11:00+00:00
1750540320000000,102556.0,102593.85,102538.69,102538.69,8.19194,1750540379999999,840277.6897012,2047,3.14372,322460.7266308,0,2025-06-21 21:12:00+00:00
1750540380000000,102538.7,102540.4,102532.45,102540.39,3.27793,1750540439999999,336099.8604128,648,2.31795,237668.000218,0,2025-06-21 21:13:00+00:00
1750540440000000,102540.39,102540.39,102494.07,102494.07,9.62557,1750540499999999,986869.7518467,2406,0.34797,35671.6744002,0,2025-06-21 21:14:00+00:00
1750540500000000,102494.07,102494.07,102351.99,102408.82,11.82959,1750540559999999,1211397.0243028,5347,5.03386,515459.2327968,0,2025-06-21 21:15:00+00:00
1750540560000000,102408.82,102453.86,102389.1,102453.86,2.52631,1750540619999999,258733.1554459,2026,1.40669,144075.2599262,0,2025-06-21 21:16:00+00:00
1750540620000000,102453.86,102576.72,102453.86,102538.3,9.98948,1750540679999999,1024207.9120848,3386,7.70913,790347.5209769,0,2025-06-21 21:17:00+00:00
1750540680000000,102538.21,102559.79,102538.2,102552.69,2.77627,1750540739999999,284709.6898613,1089,1.63237,167400.0141562,0,2025-06-21 21:18:00+00:00
1750540740000000,102552.7,102560.0,102544.1,102548.5,5.66307,1750540799999999,580764.4051019,1448,2.92351,299810.9904081,0,2025-06-21 21:19:00+00:00
1750540800000000,102548.51,102548.51,102521.4,102521.4,2.73046,1750540859999999,279985.3127906,932,0.52592,53928.8706272,0,2025-06-21 21:20:00+00:00
1750540860000000,102521.11,102521.11,102412.4,102447.59,7.54465,1750540919999999,772886.8310362,2921,3.10538,318043.3778277,0,2025-06-21 21:21:00+00:00
1750540920000000,102447.6,102483.83,102435.5,102453.35,4.57994,1750540979999999,469269.8536528,2296,1.90021,194683.5243674,0,2025-06-21 21:22:00+00:00
1750540980000000,102453.36,102453.36,102380.52,102380.53,3.96219,1750541039999999,405849.5936058,1775,0.93029,95298.7293169,0,2025-06-21 21:23:00+00:00
1750541040000000,102380.53,102380.53,101580.0,101581.2,415.25754,1750541099999999,42340301.8618697,30619,59.43441,6054852.520866,0,2025-06-21 21:24:00+00:00
1750541100000000,101581.21,101848.0,101550.0,101842.97,88.15335,1750541159999999,8960283.4141256,14157,55.41406,5632465.2366202,0,2025-06-21 21:25:00+00:00
1750541160000000,101842.98,102098.7,101842.97,102098.7,43.94859,1750541219999999,4480690.7995177,11158,24.76446,2524553.399208,0,2025-06-21 21:26:00+00:00
1750541220000000,102098.69,102146.52,101775.59,101781.99,38.16123,1750541279999999,3891283.0842356,14702,13.55786,1382411.0967751,0,2025-06-21 21:27:00+00:00
