1746063120000000,94604.57000000,94651.86000000,94604.56000000,94651.85000000,2.04187000,1746063179999999,193218.49424770,1292,1.74118000,164760.98292070,0
1746063180000000,94651.85000000,94674.40000000,94651.85000000,94674.40000000,3.32667000,1746063239999999,314912.03560100,872,2.43958000,230941.44381160,0
1746063240000000,94674.40000000,94678.99000000,94674.40000000,94678.98000000,1.48893000,1746063299999999,140965.32996090,289,1.25191000,118524.51812130,0
1746063300000000,94678.98000000,94678.99000000,94674.41000000,94674.41000000,4.38319000,1746063359999999,414978.56218940,586,3.68105000,348502.33691290,0
1746063360000000,94674.42000000,94687.99000000,94652.85000000,94667.47000000,5.80637000,1746063419999999,549697.74735810,1969,2.71744000,257269.04089130,0
1746063420000000,94667.46000000,94681.94000000,94650.31000000,94650.31000000,7.20736000,1746063479999999,682262.85843230,1775,0.69669000,65958.58108000,0
1746063480000000,94650.32000000,94700.00000000,94648.79000000,94689.19000000,5.40532000,1746063539999999,511754.38040940,2082,4.06657000,385001.30944240,0
1746063540000000,94689.18000000,94689.18000000,94572.12000000,94572.12000000,8.90046000,1746063599999999,842433.01912110,3984,0.64330000,60854.39273620,0
1746063600000000,94572.12000000,94581.78000000,94485.97000000,94485.97000000,26.29687000,1746063659999999,2486068.45120460,2454,0.50071000,47351.32044810,0
1746063660000000,94485.98000000,94538.50000000,94485.97000000,94538.49000000,27.89159000,1746063719999999,2635681.78314820,2273,16.41344000,1551033.19674100,0
1746063720000000,94538.50000000,94569.92000000,94535.38000000,94569.91000000,16.33290000,1746063779999999,1544129.77016120,1128,14.42571000,1363823.47235580,0
1746063780000000,94569.92000000,94574.23000000,94540.40000000,94574.22000000,3.78031000,1746063839999999,357454.89875270,1503,2.04260000,193131.76554860,0
1746063840000000,94574.22000000,94710.00000000,94574.22000000,94710.00000000,13.01227000,1746063899999999,1231776.43437890,2973,11.71304000,1108790.07865230,0
1746063900000000,94709.99000000,94709.99000000,94656.04000000,94656.04000000,10.86279000,1746063959999999,1028501.75507640,2508,4.39376000,415976.61697060,0
1746063960000000,94656.04000000,94656.04000000,94595.71000000,94595.71000000,6.65034000,1746064019999999,629385.96809980,2529,0.12944000,12245.41110600,0
1746064020000000,94595.72000000,94618.99000000,94595.71000000,94618.98000000,2.12238000,1746064079999999,200781.41350920,799,1.45486000,137628.82935080,0
1746064080000000,94618.98000000,94635.83000000,94607.53000000,94626.88000000,8.45669000,1746064139999999,800161.60685830,1174,5.94581000,562560.14650660,0
1746064140000000,94626.88000000,94626.88000000,94595.72000000,94595.72000000,9.99914000,1746064199999999,946100.30561780,1132,8.68629000,821888.02609060,0
1746064200000000,94595.72000000,94633.00000000,94595.72000000,94632.99000000,3.34453000,1746064259999999,316442.50496790,844,2.71900000,257255.62092370,0
1746064260000000,94633.00000000,94633.00000000,94580.00000000,94580.00000000,2.94922000,1746064319999999,279051.99941360,1745,0.60782000,57513.78966620,0
1746064320000000,94580.00000000,94597.77000000,94576.05000000,94597.76000000,0.72713000,1746064379999999,68777.56780590,695,0.53456000,50562.47957820,0
1746064380000000,94597.77000000,94640.00000000,94597.76000000,94639.99000000,2.43235000,1746064439999999,230122.45425120,1170,1.11461000,105457.88953190,0
1746064440000000,94639.99000000,94646.02000000,94626.27000000,94646.02000000,7.21942000,1746064499999999,683198.78385970,1148,5.51914000,522288.69754260,0
1746064500000000,94646.01000000,94694.20000000,94646.01000000,94681.91000000,9.51319000,1746064559999999,900714.30058170,2042,7.56489000,716239.72373030,0
1746064560000000,94681.92000000,94681.92000000,94652.00000000,94652.00000000,4.41911000,1746064619999999,418326.94540950,1849,1.99713000,189041.49005080,0
1746064620000000,94652.00000000,94652.01000000,94590.23000000,94590.23000000,4.54018000,1746064679999999,429615.22287830,1689,0.24337000,23031.88712080,0
1746064680000000,94590.23000000,94608.06000000,94590.23000000,94608.06000000,6.35222000,1746064739999999,600881.45262160,733,4.88193000,461791.19326290,0
1746064740000000,94608.05000000,94643.15000000,94608.05000000,94636.51000000,4.43761000,1746064799999999,419925.90247230,1241,2.17271000,205593.90240200,0
1746064800000000,94636.50000000,94690.67000000,94636.50000000,94664.48000000,5.50996000,1746064859999999,521595.04192860,1768,2.41050000,228172.46034960,0
1746064860000000,94664.47000000,94664.48000000,94620.00000000,94628.00000000,7.18897000,1746064919999999,680302.17748200,1625,4.52164000,427849.99775600,0
1746064920000000,94628.00000000,94675.09000000,94627.99000000,94675.09000000,6.93977000,1746064979999999,656759.54918530,1025,6.06652000,574101.33680960,0
1746064980000000,94675.08000000,94675.09000000,94675.08000000,94675.09000000,0.63187000,1746065039999999,59822.34381430,152,0.10147000,9606.68138230,0
1746065040000000,94675.09000000,94680.00000000,94675.09000000,94680.00000000,3.12928000,1746065099999999,296275.11209450,495,2.15069000,203622.22068040,0
1746065100000000,94679.99000000,94700.00000000,94662.00000000,94700.00000000,4.99164000,1746065159999999,472615.02147840,1810,2.81179000,266213.77073280,0
1746065160000000,94699.99000000,94710.00000000,94699.99000000,94703.22000000,4.08802000,1746065219999999,387156.73889130,731,2.72481000,258056.50762630,0
