time,price
2024-12-31 18:31:00+00:00,94133.05
2024-12-31 18:32:00+00:00,94153.8
2024-12-31 18:33:00+00:00,94142.98
2024-12-31 18:34:00+00:00,94078.81
2024-12-31 18:39:00+00:00,94054.33
2024-12-31 18:40:00+00:00,94092.62
2024-12-31 18:43:00+00:00,94047.23
2024-12-31 18:44:00+00:00,94079.19
2024-12-31 18:46:00+00:00,94097.09
2024-12-31 18:47:00+00:00,94115.11
2024-12-31 18:48:00+00:00,94153.81
2024-12-31 18:49:00+00:00,94127.48
2024-12-31 18:50:00+00:00,94121.21
2024-12-31 18:51:00+00:00,94082.28
2024-12-31 19:08:00+00:00,94030.74
2024-12-31 19:09:00+00:00,94057.06
2024-12-31 19:10:00+00:00,94163.79
2024-12-31 19:11:00+00:00,94252.4
